Procedure ID,,Description,Amount
803745,,BIT DRILL 7080510       ,905
803746,,SYS CABLE 5HL EXT 23X261,6501.6
803748,,INSERT TRTHLN TIB G-313 ,4352.78
803754,,SCREW PERI 3.5X20 2.7 HD,58.8
803757,,SCREW CANNULATED 6.5 160,502.32
803758,,SCREW CORT HEX 2.7X8    ,27.66
803759,,SCREW CORT HEX 2.7X26   ,27.66
803760,,SCREW CORT HEX 2.7X30   ,27.66
803761,,SCREW BN 6.5X4.8X70X16MM,502.32
803762,,CMPNT PTLA NG 19.5      ,1040
803764,,PLATE 67X11X1.5MM 3.5MM ,659.3
803765,,COMPNT PTLA POR 10X35   ,1000
803767,,CMPNT PTLA POR 10X41    ,1000
803768,,CMPNT FEM SZ C KNEE LE  ,17040
803769,,TIBIAL SZ 3 12MM NXGN MB,7024
803770,,KNEE TIB MONO 74X12     ,7024
803771,,NEXGEN TIB SZ 4 14MM    ,7024
803772,,TIBIAL MONBLOCK SZ 6 14M,7024
803774,,KNEE TIB NXG MONO 8 X 14,7024
803775,,TIBIAL MONOBLOC SZ4 H12 ,7024
803776,,PLATE 182X10.1X3.5MM    ,1197
803777,,PLATE 196X10.1X3.5MM SS ,1130
803778,,PLATE 224X10.1X3.5MM    ,1226
803780,,PLATE 252X10.1X3.5MM    ,1282
803781,,PLATE 308X10.1X3.5MM    ,1620
803783,,STEM FEM HIP TPR 15X140 ,8344
803784,,HEAD FEMORAL 00801804004,1600
803786,,HP ACETAB LNR SZG       ,1500
803789,,CATH BLN 2MM 50CM 40MM  ,2172.8
803790,,SCREW 3.5X14 W/2.7 HD   ,58.8
803792,,SCREW TAP F/4.0X110     ,292
803793,,SCREW CORT HEX 3.5X38   ,40.6
803794,,SCREW CORT HEX 3.5X14   ,40.6
803795,,SCREW CORT HEX 3.5X16   ,40.6
803796,,SCREW CORT SLFTAP 3.5X18,40.6
803797,,SCREW CORT SLFTAP 3.5X20,40.6
803798,,SCREW CORT SLFTAP 3.5X22,40.6
803799,,SCREW BNE CANC 4X14X35  ,23.96
803802,,PLT 1/3 TBLR COLR 49 4HL,73.76
803803,,COMPNT NXGN PTLR 10X32MM,1000
803804,,COMPNT FEM NXGN 68X58 RT,17040
803806,,BLOCK MONO TIB SZ3 17MM ,7024
803807,,BLOCK TIBIAL NG TM CR MO,7024
803809,,GRAFT BN CANC L14MMXW11M,2755.16
803810,,GRAFT BN CANC L14MMXW11M,2755.16
803811,,GRAFT BN CANC L14MMXW11M,1800
803812,,GRAFT BN CA 9X14X11     ,2755.16
803813,,LINER XPLE 10D 36X62    ,1500
803815,,HEAD FEMORAL 00801804002,1600
803817,,CATH ATHRCM 2MM SLD CRWN,11530.75
803818,,CATH DBCK CN SLD 2.25MM ,11530.75
803823,,CUTTER ENDO FLEX 60     ,2475
803824,,RELOAD STAPLE 60MM BLUE ,880
803825,,RELOAD STAPLE 60MM GRN  ,1058
803826,,RELOAD STAPLE TR60W     ,1058
803830,,STAPLER INTRNL PERI-STRP,3212
803831,,BIT DRL 4. 02.00020.054 ,1098
803836,,DEVICE VENTRIC AST TANDM,86034
803838,,TRAY CATH PICC 50CM 4FR ,1133.93
803839,,TRAY PICC CATH 2LUM 5FR ,1154.3
803840,,TRAY CATH PICC 3LUM 6FR ,1344.42
803845,,BALLN PTA 6F RX 4X20X137,3266
803846,,BALLN ANGIO 6F RX 5X20  ,3266
803847,,DEVICE FSTFX NDL CRV AB ,1749.51
803848,,SUT KNEET PUSHER-STRLE  ,624.82
803849,,SCREW QFIX 2X11MM       ,686
803852,,KWIRE FX 100MM .8MM     ,632.4
803855,,BIT DRL ASNS 1.7        ,1511.32
803859,,STYLET LD 58CM .014IN KT,640
803860,,STYLET PCNG LEAD 6052-53,246
803862,,SHEATH CTH 8F 40CM      ,1088
803867,,STENT BIL FNNLI 7X6X150 ,1260
803868,,PEG FX 4MM 30MM ORTH THR,169.58
803869,,PEG FX THRD 4X32.5      ,169.58
803870,,PG FX 35 4 SHLDR THRD   ,169.58
803871,,PEG FX 4X37.5 SHLDR     ,169.58
803872,,PEG FX L40 SHLDR THRD   ,169.58
803873,,STENT ICAST 85451       ,5030
803878,,BIT DRL AXSOS 125X2.3MM ,993
803879,,CATH GD MRC SIL L10 O   ,4886
803880,,PACK EXTRACORPORAL      ,2694
803883,,CATH SLITTER UNV 2      ,560
803885,,INSRT POLY X3 40MM      ,1500
803886,,NAIL INTRTN 11.5X18X130 ,2299.06
803887,,SCREW LAG/COMP 100/95   ,1139
803890,,PLATE MED MSH V-AX CALC ,1912.68
803891,,PLATE BN V-AX CRV RT 5HL,1136
803892,,PLATE V-AX 40-15043     ,1657.5
803893,,SCREW LCK T7 2.7X18     ,402.28
803894,,SCREW LCK T7 2.7X22     ,402.28
803896,,SCREW V-AX NLCK 3.5X20  ,160
803897,,SCREW V-AX FT LCK 3.5X24,401.2
803898,,SCREW V-AX FT LCK 3.5X28,409.22
803900,,TIP APPLICATOR 35CM     ,623
803901,,STEM FEM RDC FLR 150X34 ,5370
803902,,PCR ADPTA SR ADSR03     ,7300
803903,,PACEMKR ADPTA SR ADSR06 ,7300
803907,,PLATE PRX LAT TIB 121MMR,2917.6
803910,,DEFIB CARD ATLS+ 2 HF TH,36920
803912,,CUP ACTB PNCL 56 MH     ,3288.6
803913,,CUP ACTB PNCL 52 GRPTN  ,2000
803914,,CUP ACTB PNCL SECT 56MM ,2000
803915,,CATH SLITTER ADJ SHTH   ,560
803916,,ANCHOR SUT BRDG 5.5MM   ,3544
803919,,HEAD FEM COB 28MM -3.5MM,700
803920,,BLN CUT 2.0X20 OTW      ,2933
803921,,CATH BLN 2MM 150CM 80MM ,2138
803922,,BLN AMPHRN 2.5X40X150   ,2138
803923,,BLN AMPHRN 2.5X80X150   ,2342.55
803924,,CATH BLN 3MM 150CM 40MM ,2104.9
803925,,STNT ESPH VBHN 10X5X110 ,4910
803929,,HEAD FEM CONSERVE A-CLAS,5720
803931,,SCREW TI 18X2.3MM ARTHX ,272
803934,,AUGMNT TIB RM/LL 5MM SZ4,1891.5
803935,,INSRT ACTB X3 ODD 40G   ,2011.78
803936,,HEAD HP FEM LFIT 40     ,600
803937,,NUT 03.311.061.10       ,68.6
803938,,SCREW PERI LCK 3.5X40MM ,173.6
803939,,ROD 100MM 03.311.110    ,888
803940,,BSKT STN RET M0063303060,1079
803942,,SCREW SPN P-AX 3.5X14   ,1600
803944,,ROD 250MM 03.311.125    ,123.5
803945,,SCREW BN 14 FT ANKL NL  ,198
803946,,STENT XPRS2 2.25X8      ,1700
803947,,STENT XPRS2 2.5X8       ,1180
803948,,STENT COR 2.5X20MM      ,1180
803949,,STENT COR 2.5X24MM      ,1180
803955,,HP FEM HD C-TPR +0X40   ,1760
803956,,STEM FEMORAL L125MM OD17,4542.72
803959,,SHELL ACTB 54MM         ,4054
803960,,BLADE SAW 15X9MM        ,175
803961,,STAPLER INT CIRC 21MM   ,1881.78
803962,,STAPLER CIRCULAR EEAXL21,2968
803963,,CONNECTOR SZ 6 174022060,2766.26
803964,,XLNK MNRCH SZ7 TI       ,2766.26
803965,,XLNK MNRCH SZ 8 TI      ,2766.26
803966,,PROBE NERVE STM NIM SPNL,2324
803969,,SCREW BN CORT 4.5X76MM  ,44.8
803970,,STIMULATOR BONE 303L    ,7500
803971,,DRSSNG ANBCTRL EXFX WIRE,480
803972,,CEMENT 15PERC HA/85PERC ,529.2
803973,,BONE SUBSTITUTE 10CC    ,722.52
803975,,RING RCKR EX FIX 180X155,4215.75
803976,,SNARE VASC 120CM 6-10MM ,2175
803977,,SHELL ACTB 60MM MLHL R3 ,6670
803979,,ROD SPN 3.7X80 STRT     ,400
803981,,SCREW BOLD COMP. 14MM   ,490
803982,,BIT DRILL CANNUL 2 N 1  ,694
803986,,HEAD RADIAL STD OD26MM  ,2990
803988,,PELLET TEMPLATE 4.8MM   ,510
803989,,GRAFT BN SYN CA SLF 5ML ,850
803990,,ROD SPNL 120MM 3.7MM STR,400
803994,,EXPANDER TISS 75ML ELIP ,1150
803995,,EXPANDER TISS 150CC ELIP,1150
803998,,MRC RTRV V 2.5 FRM      ,15090
804004,,SCREW BIOTENO AR-1555B  ,986
804005,,SYSTEM O.A.T.S. 8MM     ,2860.55
804007,,KIT OSTCHND REPR 4095S  ,3195
804008,,ANCHOR BIOKNOTLESS W/ETH,1112
804009,,MRC RTRV V 2.5 SFT      ,15090
804011,,ROD HUMRL 8X260         ,3786
804012,,RELOAD STPL GRAY ECR45M ,789.68
804013,,GRAFT BN MTRX 10CC 14PC ,5000
804015,,DRILL BN 4.5MM CANC STRL,753.69
804016,,ICD TLGEN VR HE E102    ,22850
804018,,ICD TLGEN DR HE E110    ,19880
804019,,CRTD GCGNS HE N119      ,28022
804024,,SCREW TIB PHNX 5X28MM   ,473.04
804026,,SCREW BN LCK 2X8        ,282
804036,,SCREW T2 LCK F-T 4X38MM ,380.92
804037,,SCREW T2 LCK F-T 4X45MM ,382.4
804039,,CONNECTOR MAC 23 MM     ,1200
804043,,SHELL ACTB HIP MLHL 56MM,1600
804046,,SCREW AS3 CANN 6.5X80X20,463.14
804058,,VALVE MITRAL PERI 31MM  ,10000
804059,,VALVE MTRL TS PRMT      ,10000
804060,,SCREW BNE 3.5X34MM CORT ,77.62
804062,,BLN CUT 2.5X20 OTW      ,2933
804064,,PLATE LCP PROXHUM 6H/3H ,2963.52
804065,,PLATE CRV 55X10.1X3.5MM ,1068
804066,,PLATE BNE LCP SS L82MM 6,1156
804067,,DRLBT 3-FLU 3.2X210     ,1030
804071,,BLADE FIXTN TI L38MM HUM,1002.4
804073,,DEV TROCH REATTACH ST   ,3481.6
804074,,CABLE ORTH 1.7X750MM    ,878.4
804075,,SCREW HIP CANC 6.5X40   ,221.1
804076,,INSERT 11MM P/S         ,1590
804079,,SCREW BN CPTR GRY 4.5X65,406
804080,,COMPNT PTLA GNSIS2 38MM ,500
804081,,DEVICE TISS SLR 3X14    ,2367
804083,,DEVICE CLSR 5 HMSTS CRV ,1374.4
804084,,DEVICE TISS SLR 3X35    ,3124.49
804085,,GRAFT BN DBM PASTE 10ML ,2956.8
804086,,BLN THR TAG TRI-LB      ,3791
804087,,SHEATH PNCH VLV 22F 30CM,2285
804088,,SZR SAL 420-500CC       ,800
804089,,BLN OCL HGLD 2.8X7X150  ,5622
804090,,PLATE 3HL 59MMX3.5 VAR  ,1236
804091,,IMPLANT BREAST 659ML GEL,1530
804092,,BIT SURG DRL OD2.9      ,1246.24
804093,,BIT DRL 2.9 SHRT NS     ,767.61
804094,,SCREW ORT 5.5X40MM      ,120
804098,,SURFACE ATRC 3-4 12MM   ,2508
804102,,SCREW CORTICAL 2.3MM X 1,130
804103,,SCREW MTRX-NEUR SPNL 5  ,161.6
804105,,CLAMP TUBE-TO-TUBE EXFX ,3117.76
804106,,SHEATH ESURG 13FR       ,2638
804107,,SHEATH ESURG OUT 13FR   ,585
804109,,SCREW ORTH LCK 4.9X36   ,376
804110,,PACEMKR ADPTA DR ADDR01 ,5408
804119,,PROS ANATOMEMIC 21.5    ,1986
804120,,GRAFT BN 1/C DBM10ML CHP,1500
804121,,TIP DLV NDL 12GAX7.5    ,873.6
804122,,ANCHOR BIOKNOTLESS RC W/,658
804123,,SCREW ASNS FT HND 2X16MM,399.84
804124,,KWIRE FX 200MM 1.6MM    ,736
804125,,SCREW BN XIA 0382-1640  ,2481.58
804129,,CATH BLN RPDCR2.5X20X170,1563.72
804131,,BIT DRL CLBRT GMA300X5.5,977
804132,,CATH DYN 6F OCT         ,2694
804133,,BLN CUT 3.0X20 OTW      ,2933
804141,,BLN CATH CQ CQ-75122    ,1425.9
804155,,BONE ORT DOWELS 17X7.5  ,5000
804157,,GWIRE ORTHO 2.8MM       ,200
804159,,SPNL WDG BCKFX 5.5 SPD  ,2620
804160,,DEV CLSR ATRICLP 35MM   ,5775
804161,,BIT DRL L100 OD2.0 NS   ,1190
804162,,BIT DRL L100 OD2.7 NS   ,1190
804163,,SNARE ESCPC 4-8X175CM 3F,2502.5
804164,,STENT XPRS PM 10X40X75  ,1945.72
804165,,STENT XPRS PM 6X20X175  ,1806.24
804166,,STENT XPRS PM 6X40X75   ,1945.72
804167,,STENT XPRS PM 6X50X75   ,2085.2
804169,,STENT XPRS PM 7X40X75   ,1945.72
804170,,STENT XPRS PM 7X60X75   ,2085.2
804171,,STENT XPRS PM 8X20X175  ,1806.24
804172,,STENT XPRS PM 8X40X75   ,1945.72
804173,,STENT XPRS PM 8X60X75   ,2085.2
804174,,STENT BIL 9X25X750MM    ,1806.24
804175,,STENT XPRS PM 9X40X75   ,1945.72
804176,,STENT XPRS PM 9X60X75   ,2085.2
804177,,STENT XPRS PM 10X30X135 ,1806.24
804178,,STENT XPRS PM 10X40X135 ,2399.4
804179,,STENT XPRS PM 10X60X135 ,2571.4
804180,,STENT XPRS PM 6X20X135  ,1800
804181,,STENT XPRS PM 6X60X135  ,2571.4
804182,,STENT XPRS PM 7X40X135  ,1945.72
804183,,STENT XPRS PM 8X20X135  ,1800
804184,,STENT XPRS PM 8X40X135  ,1945.72
804185,,STENT XPRS PM 8X60X135  ,2571.4
804186,,STENT XPRS PM 9X30X135  ,2227.4
804187,,STENT XPRS PM 9X40X135  ,2399.4
804188,,STNT VASC 9X57MM 135CM  ,2571.4
804190,,SCREW ORTH LCK 2.7X20   ,198.8
804191,,CMPNT FEM DIST KNEE     ,16470
804192,,SCREW SLFDRL CRNMXF 8X2 ,256
804197,,VRSANL 10X15 STRL       ,3166.02
804198,,CTHABL HALO-360 22      ,5848.15
804199,,CTHABL HALO-360 25      ,6206.2
804201,,CTHABL HALO-360 28      ,6206.2
804202,,CTHABL HALO-360 31      ,6206.2
804203,,BIT DRL CANN 1.7MM      ,848.75
804205,,HEAD HUM TPR VRSA-DIAL  ,640
804208,,SCREW PYRAMID 6.5MM X 35,400
804209,,PLATE BNE PRMD TI 21    ,9950.92
804212,,PLATE PRMD L21MM ANT SPN,1313.2
804216,,PLT CERVICAL 21MM       ,2000
804217,,PLT CERVICAL 23MM       ,2000
804218,,PLT CERVICAL 25MM       ,2000
804221,,PLT CERVICAL 35MM       ,2100
804222,,PLT CERVICAL 37.5MM     ,2100
804223,,PLT CERVICAL 40MM       ,2100
804224,,PLT CERVICAL 42.5MM     ,2100
804225,,PLT CERVICAL 45MM       ,2100
804226,,PLT CERVICAL 47.5MM     ,2100
804228,,PLATE ATLANTIS VISION 52,2200
804229,,PLT CERVICAL 55MM       ,2200
804230,,PLT CERVICAL 57.5MM     ,2200
804231,,PLT CERVICAL 60MM       ,2200
804232,,PLT CERVICAL 62.5MM     ,2200
804233,,PLT CERVICAL 65MM       ,2200
804234,,PLT CERVICAL 67.5MM     ,2200
804236,,PLT CERVICAL 75MM       ,2300
804238,,PLT CERVICAL 80MM       ,2300
804240,,PLT CERVICAL 27.5MM     ,2000
804242,,XPNDR TISS 12X12.5 450CM,2490
804243,,EXPANDER TISS 650ML 133 ,2490
804244,,VALVE SHNT RT ANG PRGM  ,6990
804245,,XPNDR TISS 800ML STY 133,2490
804247,,CATH ANGIO 5FR 80CM VSC ,1281
804248,,HANDPIECE VERSAJT 45D   ,3060.75
804252,,CBL ORTH 5 SS PSTN P CRM,491.2
804253,,SCREW BN 6.5X7.9X2.9X85 ,502.32
804254,,SCREW CANN 6.5X90X32MM  ,502.32
804255,,SCREW CANN 6.5X95X32MM  ,552.9
804257,,SCREW CANN 6.5X100X32MM ,552.9
804258,,CTHTHRM XPRT 6F 140     ,3808
804261,,SHELL ACTB HIP HEMI 62MM,5408
804262,,HEAD FEM ANTMC V40      ,1500
804264,,GRAFT BN CNRSTN WDG 10MM,1050
804267,,CATH MICRO XL VER 100 PS,1493
804269,,GFT ARTGRF 7X40 WVN     ,2560
804271,,SCREW CANC 4X40 ACMD    ,120
804272,,SCREW CORT 3.5X30       ,156
804273,,BIT DRILL QRLSE 2.8MM   ,733.32
804274,,PLATE MDL HUM ELBOW     ,1268
804275,,SCRW SPN PED 40X6.5     ,1700
804296,,BLN PFLX P3 5F 6X4X40   ,1733
804297,,SCREW V-AX NLCK 3.5X28  ,178.5
804299,,SCREW V-AX NLCK 3.5X32  ,182.08
804304,,BLN PFLX P3 6F 8X4X40   ,1733
804306,,PLATE TI ORBITAL ANATOMI,1032
804312,,PIN HLF APX 120X4X30MM  ,890.03
804313,,PIN FXTN HLF APX 5X9    ,89.38
804314,,PIN FIXTN L110MM L25MM O,181
804315,,PIN HLF APX EXFX 80X3MM ,92.16
804316,,PIN APX EXFX 110X3X25MM ,562.48
804317,,PIN HLF APX EXFX 30X5X50,984.39
804318,,STEM FEM 8.8 STD TRLK   ,7390.36
804319,,STEM STD OFFSET         ,7390.36
804320,,STEM FEM 11.3 STD       ,7390.36
804321,,STEM FEM CMNTL 12.5MM   ,7390.36
804322,,STEM FEM 13.8 STD TRLK  ,7390.36
804323,,TRI-LOCK 15 STD TI      ,7390.36
804324,,STEM FEM 17.5 STD TRLK  ,7390.36
804325,,STEM TRI LOC OFFSET 7.5 ,7390.36
804328,,STEM FEM 12.5 LAT PRCT  ,7390.36
804329,,STEM FEM CMNTLS LAT     ,7390.36
804330,,STEM FEM OFST CMNTLS 15 ,7390.36
804331,,INS ACTB 52MM 36MM      ,2200
804332,,INS ACTB 54MM 36MM      ,2200
804333,,INS ACTB 56MM 36MM      ,2200
804334,,INS ACTB 60MM 36MM      ,2200
804335,,INS ACTB 62MM 36MM      ,2200
804336,,INS ACTB 64MM 36MM      ,2200
804337,,INS ACTB 66MM 36MM      ,2200
804338,,INSERT MOM 48           ,2889.82
804339,,INSERT MOM 50           ,2889.82
804342,,CUP ACTB 48X28MM        ,3080.7
804343,,LNR ACTB DURLC 52X28    ,4660
804345,,LINER ACTB DURLC 52X32  ,3080.7
804347,,LNR ACTB DURLC 56/68X32 ,3080.7
804348,,LNR ACTB DURLC 60/72X32 ,3237.22
804351,,HEAD FEM HIP +3X36MM    ,840
804352,,HEAD FEM +6 36 SROM     ,840
804354,,HD FM CRM +5 28ART/EZ   ,1600
804355,,HEAD FEM TPR SZ12/14    ,2000
804356,,HEAD FEM +5MM 32MM 12/14,2000
804357,,BALL CRMC ART/EZ 32 +9  ,2724
804360,,PLATE TMX COMP 6HL 77MM ,446
804362,,CLIP LIGATE POLMR 544230,84
804379,,KWIRE FX 100MM 1.2MM    ,742.4
804389,,BLN CUT 3.5X20 OTW      ,2933
804393,,SCREW BNE 3.9X30        ,396
804395,,SCREW BN CPTR INT 5X25  ,243.6
804396,,SCREW TRAD. 5.0X30      ,243.6
804397,,SCREW BN CPTR HEX 5X35  ,243.6
804398,,SCREW BNE TI L40 TRGN   ,243.6
804399,,SCREW BN 5X45MM         ,600
804401,,SCREW BN CPTR HEX 5X50  ,243.6
804402,,SCREW TRGN 5.0X55       ,243.6
804403,,SCREW BN CPTR HEX 5X60  ,243.6
804404,,SCREW TRGN LCK 5.0X65   ,243.6
804406,,SCREW BN CPTR HEX 5X70  ,243.6
804407,,SCREW BN CPTR HEX 5X75  ,243.6
804408,,SCREW BN CPTR HEX 5X80  ,243.6
804409,,SCREW 5.0 HEX 85MM      ,243.6
804410,,SCREW BN CPTR HEX 5X90  ,184
804411,,SCREW BN CPTR HEX 5X95  ,184
804412,,BLAD SHVR 3.5 275-534-0 ,866
804413,,BLADE 5.0 AGRS+         ,324
804423,,PACK SURG PROC VNCLSTM  ,2147
804428,,VALVE AORTIC 19MM       ,9000
804429,,VALVE AORTIC 21MM       ,7850
804430,,VALVE AORTIC 23MM MSTR  ,7850
804431,,VLV AOR 25 MSTR W/CUF   ,9000
804434,,DEVICE CLSR 10 PNCT     ,378
804440,,PIN REPLACEMENT X-SM    ,1600
804442,,TUBING INSFL PNEUMSR HTD,739.4
804443,,STENT AAA EXLDR 31X14.5 ,17760
804444,,STEM TIBIAL TOP SIZE 14 ,1374
804445,,SHTH SLT ATTN 6228SLT   ,181
804453,,IMPLANT AXAILIF SPINAL S,15200
804460,,ICD GEM3 VR AT 7276     ,27040
804461,,ICD VNTK PRZM2 DR 1861  ,33812
804464,,INSERT TRTHLN FEM A-602 ,2064.4
804467,,DRILL TRANSFIX 5MM      ,1391.95
804474,,STNT BIL WLL LWP8X21X135,4490
804475,,STNT BIL WLL LWP8X29X135,4490
804478,,STNT BIL WLL LW10X24X135,4490
804479,,STENT VSC WLL 10X31X135 ,4190
804480,,BIT DRL GMA DIST 300X5.5,1049
804483,,SHEATH LSR CLR 16F      ,8967
804484,,LEAD DEV RTRV LCK KIT 3 ,2900
804485,,LEAD DEV RTRV LCK KIT 1 ,2900
804494,,SCREW BN HIP 13MM 70MM  ,330.28
804495,,SCREW LAG 80MM          ,330.28
804496,,SCREW KEYLSS LAG STD 90M,526.4
804497,,SCREW LAG               ,330.28
804498,,SCREW TK2 KEYLESS LAG ST,330.28
804501,,STENT WLSTENT 10X60     ,3126
804503,,GWIRE CRTD 016 180 25   ,1636.05
804507,,LENS IO SA60AT 19.5     ,268
804508,,LENS IO SA60AT 20.5     ,268
804510,,LENS IO SA60AT 21.5     ,268
804511,,SCREW BN CORT 3.5X28MM  ,32
804512,,LENS IO SA60AT 22.5     ,268
804513,,LENS IO SA60AT 23.5     ,268
804514,,LENS IO SA60AT.245      ,268
804516,,TRAY TIB KNEE KEEL 5    ,2912
804517,,IMP KNEE TIB INS CVD    ,1366
804518,,CMPNT FEM NPOR #2 L     ,2360
804519,,DEVICE XCLOSE POLY BANDS,3990
804520,,STENT CTD PRCS RX 5X20  ,3999
804522,,STNT CTD PRCS RX 5X30   ,3999
804524,,CEMENT T4RACERS STRLE BO,169
804528,,STENT CTD PRCS RX 5X40  ,3999
804540,,STNT CTD PRCS RX 6X20   ,3999
804541,,STENT CTD PRCS RX 6X30  ,3999
804542,,STENT CTD PRCS RX 6X40  ,3999
804543,,STNT CTD PRCS RX 7X20   ,3999
804544,,STENT CTD PRCS RX 7X30  ,3999
804546,,STENT CTD PRCS RX 7X40  ,3956
804548,,VALVE MTRL 27MM STD     ,7888
804549,,VALVE AORTIC 19MM STD   ,7888
804551,,VLV MTRL 26 AP SER      ,8160
804552,,VLV MTRL 28 AP SER      ,8160
804554,,STNT CTD PRCS RX 8X20   ,3999
804565,,STENT CTD PRCS RX 8X30  ,3956
804566,,FLTR VC SYS LD 40DL     ,1990
804567,,STENT CTD PRCS RX 8X40  ,3956
804568,,VALVE MTRL 29MM STD     ,7622
804569,,VALVE MTRL 31MM STD     ,2400
804570,,VALVE MTRL 33MM STD 5   ,7400
804571,,VALVE AORTIC 23MM STD   ,7400
804572,,VALVE AORTIC 25MM STD   ,7622
804573,,VALVE AORTIC 27MM STD   ,7888
804574,,VALVE AORTIC 29MM STD   ,7400
804578,,STNT CTD PRCS RX 9X20   ,3999
804585,,NEEDLE INTJCT 4/25G     ,580
804586,,CAP PROT TIM BRN 3MM    ,973.6
804588,,GD WIRE 38X3 HD         ,1025.63
804589,,GRAFT BN ALMTRX 5CC     ,1000
804591,,BIT ANSPACH SIL-14-17   ,1420
804594,,STENT CTD PRCS RX 9X30  ,3956
804596,,KWIRE FX 450MM 3.2MM    ,881.46
804597,,CUP ACTB PNCL 60        ,1800
804604,,STYLET LD 45CMX.014 J SH,800
804656,,STNT CTD PRCS RX 10X20  ,3999
804657,,CUP ATCB PNCL 300 52    ,1800
804658,,SHTH LSR CLR 12F        ,8967
804659,,SHTH LSR CLR 14F        ,8967
804660,,TIBIAL 3.5X65           ,1764
804663,,BLN ATN 6F VGRM 6215-80 ,816
804664,,KIT STYLET 6254-85      ,332
804667,,CONNCTR DRN BLKE 19FR   ,260.4
804668,,CONNCTR Y 2-WAY DRN BG  ,260.6
804669,,CONN Y 3-WAY DRN BG     ,205.6
804673,,DRSG DDRM SGNL 4X4      ,15
804674,,DRSNG SGNL DDRM 5.5X5.5 ,28
804675,,DRESSING HDRCLD SQ 8X8IN,55
804678,,CATHDX STR 5F 100 NS    ,623.4
804682,,EXPANDER TISS 250ML PRFL,2750
804683,,SLEEVE CBL ORTH 2X750MM ,610
804684,,STEM HIP PRIM OFST 16MM ,5370
804685,,BASEPLATE TIB GNSIS2 KN3,2000
804690,,NEEDLE KYPHN 11GA       ,420
804694,,TRAY INST KPHPK AD 15/3 ,8904
804697,,GW VSC NTNL 018 15 175  ,1466.64
804701,,TRAY INST KPHPK AD 20/3 ,9738
804704,,SCREW PERI LCK 3.5X54   ,173.6
804706,,LENS IO SA60AT.210      ,268
804707,,LENS IO SA60AT.220      ,268
804708,,LENS IO SA60AT.230      ,268
804709,,LENS IO SA60AT.240      ,268
804713,,SET CATH 24CM           ,1527.75
804715,,GWRE LEAD ATTN 6218     ,1916
804716,,KWIRE FX 1.6MM 150MM    ,800
804731,,LINER ACTB NEUT 50X28   ,2077.5
804732,,HEAD FEM HIP 12/14+12X36,700
804735,,TRAY MBT REV CEM TIB 3  ,5268.9
804736,,BIT DRILL 5601-3200     ,1369.04
804737,,SCREW JONES 4.5X45      ,2722
804740,,CATH BLNDL 4MM 135CM 4CM,1051
804741,,CATH BALLOON DIL 5X2X135,1051
804743,,CATH BLNDL 6MM 135CM 2CM,1152.6
804745,,CATH BLNDL 7MM 135CM 2CM,1152.6
804746,,BLN SNRG 7X4X135        ,1051
804747,,CATH BLNDL 8MM 135CM 2CM,1051
804749,,CMPNT SBTLR ANKLE 8MM   ,5348
804750,,COIL EMBL 2X1 ULTRASOF  ,2142
804751,,COIL EMB GD10 USFT 2X2  ,2162
804752,,COIL EMBL 4CM 2.5MM 10 D,2204
804755,,SCREW BN PLRS 5X30 CANC ,264
804759,,LEAD MYOCRD AF 511211   ,936
804760,,LEAD SUTRLS MYOPR 511212,936
804761,,BASEPLATE TIB KN 5 LT   ,2000
804764,,DRSNG GEL NACL 6X6      ,11
804769,,MNPLT CUP CERV STD 34MM ,1500
804770,,MANIPULATOR VCARE SMALL ,1500
804771,,MNPLT CUP ENDO VCARE LG ,1500
804772,,STEM FEM 105MM 10MM TPRL,5570
804776,,CATH BLN 150CM AM DP    ,2682.05
804777,,BLN INV A 2.0X150       ,2342.55
804782,,BLN INV A 2.5X150       ,2449
804783,,BLN INV A 3.0X150       ,2449
804784,,BLN INV A 3.5X150       ,2342.55
804790,,CUP ACTB 54             ,1800
804791,,HEAD ARTICULEZE M 36 +5 ,700
804793,,CAP LD IS-1 DF-1 4.75MM ,46
804794,,HEAD FEM HIP +8X12/14X28,700
804795,,ARTC INS SZ.7-8 9 GENE  ,1100
804803,,PACKNG NSL RP RHNO RR551,786
804804,,CTHGD ATTN 6216         ,3214
804806,,PACKING NSL BLN 7.5CM   ,766
804813,,CMPNT FEM SZ 16         ,5000
804814,,BASEPLATE TIB SZ7 LT    ,2000
804815,,INSERT ARTC KN 3-4 9MM  ,1590
804818,,ANCH SUT AR-1322-752SF  ,370
804820,,COIL EMB GD10 USFT 2X3  ,2140
804821,,SUTURE PE POLY FBRWR 2 3,440
804823,,LCS COMP FEM CEM R SM   ,3200
804824,,INS FEM CMNT STD RT     ,2900
804825,,INSRT FEM STD CMNT RT KN,2912
804826,,INS FEM LCS COMPLETE LG ,2900
804827,,INSERT FEM L+ KN RT CMNT,2912
804828,,INSRT FEM STD CMNT LF KN,2900
804829,,INS FEM STD+KN LT CMNT  ,2900
804830,,INSERT FEM LCS CMPLT LG ,2900
804831,,INSERT FEM COMP LG KNEE ,2912
804832,,INS FEM STD KN RT POR   ,4000
804833,,INS FEMERAL STD+RT      ,4000
804834,,INS FEM LG KN RT POR    ,4000
804835,,INS FEM STD KN LT POR   ,4000
804836,,KNEE FEM INS LCS STD    ,4000
804837,,INS FEM LG KN LT POR    ,4000
804838,,CATH DMBK 6F 10X1.25MM  ,11915.75
